,ID_1,ID_2,Label,Text
0,801989080477154944,801989080477154944,UNKNOWN,ari ariana grand 80
1,801989272341453952,801989272341453952,UNKNOWN,ariana grand kii fm truli cd listen parti burbank
2,801990978424962944,801990978424962944,UNKNOWN,ariana grand white hous easter egg roll washington
3,801996232553963008,801996232553963008,UNKNOWN,ariana grand sweet like candi 3 4 oz 100 ml seal box 100 authen new
4,801998343442407040,801998343442407040,UNKNOWN,
5,802001659970744064,802001659970744064,UNKNOWN,hairspray live preview maci thanksgiv parad
6,802003380973568000,802003380973568000,UNKNOWN,feel thank blast wear
7,802014830467174016,802014830467174016,UNKNOWN,hate love song dammit
8,802020578609623040,802020578609623040,UNKNOWN,ariana grand right ft big sean
9,802021059490934016,802021059490934016,UNKNOWN,prefer listen choos
10,802021122384523008,802021122384523008,UNKNOWN,booti babi ari arianagrand
11,802022296818880000,802022296818880000,UNKNOWN,back holiday appear throw shade
12,802022559520673024,802022559520673024,UNKNOWN,idol
13,802022965743415040,802022965743415040,UNKNOWN,ariana grand sim 3 simsdomin
14,802024079851069056,802024079851069056,UNKNOWN,remix japan e78
15,802024085777629056,802024085777629056,UNKNOWN,christma chill japan bonu track c94
16,802024981638958976,802024981638958976,UNKNOWN,popular song ahh put stori popular song
17,802026442687217024,802026442687217024,UNKNOWN,ariana grand privat event coach japan august 2015
18,802028835013206016,802028835013206016,UNKNOWN,remix japan e78
19,802028852180462976,802028852180462976,UNKNOWN,4
20,802030814246489984,802030814246489984,UNKNOWN,hallelujah
21,802032149885026048,802032149885026048,UNKNOWN,love woman ughh
22,802032523152718976,802032523152718976,UNKNOWN,ariana lip
23,802041485948555008,802041485948555008,UNKNOWN,ariana grand 2015 nyc pride danc pier
24,802042842096902016,802042842096902016,UNKNOWN,thank god
25,802045545992723968,802045545992723968,UNKNOWN,pm16 00ariana grand babi
26,802045726318587008,802045726318587008,UNKNOWN,new big fan
27,802198774114385024,802198774114385024,UNKNOWN,soro brainwash enslav u protest fool naiv u want social studi venezuela compar moron
28,802198896474803968,802198896474803968,UNKNOWN,obama latest recruit videowelcom modesto mall
29,802198916489874944,802198916489874944,UNKNOWN,iggi revolut club mad trump call sanctuari citi
30,802198916594887936,802198916594887936,UNKNOWN,call get chant disgrac
31,802199118030343936,802199118030343936,UNKNOWN,understand actual mean repres lol dismiss kid
32,802199636987416064,802199636987416064,UNKNOWN,lake counti black live matter host thanksgiv food distribut chicago tribun
33,802199759872109952,802199759872109952,UNKNOWN,protest hit black driver oh god funni
34,802202968527252992,802202968527252992,UNKNOWN,hair track death remind cool art seattl afam museum
35,802203076522364032,802203076522364032,UNKNOWN,protest black violenc kill nearli black
36,802203170923548032,802203170923548032,UNKNOWN,unit
37,802203261923115008,802203261923115008,UNKNOWN,donald trump great reason label hate group bye bye obama
38,802203369007943040,802203369007943040,UNKNOWN,latest hasem ben sober daili mulch
39,802203384904354944,802203384904354944,UNKNOWN,elector colleg reject trump
40,802203403560647936,802203403560647936,UNKNOWN,yeah polic action problem 3 000 young black kid gun drug
41,802203468991778048,802203468991778048,UNKNOWN,latest humanitarian daili
42,802203610230553984,802203610230553984,UNKNOWN,anarchist feeder worst societi like domest terrorist
43,802203612348873984,802203612348873984,UNKNOWN,block access white own store 1933 nazi boycot jewish own store know kaffir nazi
44,802203665243185024,802203665243185024,UNKNOWN,leftist smurf defac landmark anti lie
45,802203689549171968,802203689549171968,UNKNOWN,love gun thug
46,802203741571128960,802203741571128960,UNKNOWN,simpli mean english provid support set h
47,802203803047133056,802203803047133056,UNKNOWN,rest peac pray famili
48,802203906319286016,802203906319286016,UNKNOWN,ensur victori 2020
49,802204024355187968,802204024355187968,UNKNOWN,constitut right film polic
50,802204103942151936,802204103942151936,UNKNOWN,vid hide valuabl insid hollow decor candl 32416
51,802204252445798016,802204252445798016,UNKNOWN,listen raw project realest
52,802204455768850048,802204455768850048,UNKNOWN,lead chant march
53,802204569300152064,802204569300152064,UNKNOWN,thank retard
54,802204634647384064,802204634647384064,UNKNOWN,relev white man cop
55,802205360383787008,802205360383787008,UNKNOWN,start black merchandis
56,802205508203662976,802205508203662976,UNKNOWN,faith leader lord taylor
57,802205564914777984,802205564914777984,UNKNOWN,year ago night polic ferguson missouri tear gass attack safe zone rememb
58,802205662541398016,802205662541398016,UNKNOWN,cours relev black life brutal taken away
59,802205704648097024,802205704648097024,UNKNOWN,10 year later fianc e nypd shoot victim sean bell speak
60,802205825838279936,802205825838279936,UNKNOWN,smdh countri care black black live everyday
61,802205853134765952,802205853134765952,UNKNOWN,cop digniti strip pay
62,802205874492043008,802205874492043008,UNKNOWN,know name toddler hashtag
63,802205887905591040,802205887905591040,UNKNOWN,fight white turn job skin tone 4
64,802206014691020032,802206014691020032,UNKNOWN,make black matter spend join protest vote boycott
65,802206015978672000,802206015978672000,UNKNOWN,hashtag activ classroom prudenc cumberbatch nicol trujillo pag n
66,802206104180637056,802206104180637056,UNKNOWN,wow listen hate black girl white boyfriend goe racist rant
67,802206201647746944,802206201647746944,UNKNOWN,news block access white own busi
68,802206234417905024,802206234417905024,UNKNOWN,black live matter 5280 recap trip stand rock oppos oil pipelin westword
69,802206408045260032,802206408045260032,UNKNOWN,wonder cop wari readi shoot easi job protect
70,802206610764377984,802206610764377984,UNKNOWN,judg rule dylan roof competentto stand trial kill 9 peopl atsouth carolina church
71,802207113632185984,802207113632185984,UNKNOWN,prove bankrupt condit think hassl shopper busi right
72,802207175208800000,802207175208800000,UNKNOWN,cop kill terrorist blood hand
73,802207179428204032,802207179428204032,UNKNOWN,prove racist appreci let world know tetweet
74,802207190002139008,802207190002139008,UNKNOWN,plan disrupt shopper chicago rahm emanuel citizen safe
75,802207204317233024,802207204317233024,UNKNOWN,hmmm matter like rise kid disgrac
76,802207213737671936,802207213737671936,UNKNOWN,watch 16 shot
77,802207249879932032,802207249879932032,UNKNOWN,like know
78,802207556626222976,802207556626222976,UNKNOWN,bewar legal protect
79,802212306738417024,802212306738417024,UNKNOWN,clinton give support blm
80,802212708623842944,802212708623842944,UNKNOWN,crazi white peopl
81,802213029198920960,802213029198920960,UNKNOWN,young black kill drove ruin incom citi protest polic orwellian moro
82,802213224066190976,802213224066190976,UNKNOWN,cop assassin right left georgesoro give 70m fund terrorismyet blame internet
83,802213440240552960,802213440240552960,UNKNOWN,live justic kenneth chamberlin sr
84,802213846144274048,802213846144274048,UNKNOWN,broken ye fix problem nope incit race war
85,802213912204680960,802213912204680960,UNKNOWN,prove ignor shop store own white men
86,802213993494375936,802213993494375936,UNKNOWN,chri rock say franklin sit
87,802214153133886976,802214153133886976,UNKNOWN,loud new book look age
88,802214366397558016,802214366397558016,UNKNOWN,impont
89,802214371418115968,802214371418115968,UNKNOWN,guard attack polic hillari podesta soro lost need arrest
90,802214451747453952,802214451747453952,UNKNOWN,money resist
91,802214725341691008,802214725341691008,UNKNOWN,hope design terrorist organ law enforc end reign terror
92,802214731381672960,802214731381672960,UNKNOWN,banner unitarian church pittsburgh vandal
93,802215095153623040,802215095153623040,UNKNOWN,fought battl assum dont care
94,802215107057041024,802215107057041024,UNKNOWN,trump cough
95,802215268449718016,802215268449718016,UNKNOWN,black live matter lesson seri 1
96,802215648575229056,802215648575229056,UNKNOWN,git em girl
97,802215749976604032,802215749976604032,UNKNOWN,arm urselv becuz 1 save 71yo dark skin nonwhit mom new gun 2 readi 4 pick
98,802215881187201024,802215881187201024,UNKNOWN,excel analog
99,802216154911612032,802216154911612032,UNKNOWN,0bama weigh rememb obama invit radic white hous
100,802216251661680000,802216251661680000,UNKNOWN,mark 10 yr tragic shoot sean bell song wrote produc got love
101,802216317516450944,802216317516450944,UNKNOWN,print sale
102,801750589302509056,801750589302509056,UNKNOWN,lui enriqu neymar boo 10 minut issu regard crowd shout
103,801750657837436032,801750657837436032,UNKNOWN,lui enriqu crowd great great place play handbag celtic player
104,801750933168393984,801750933168393984,UNKNOWN,lui enriqu half rememb celtic clear chanc messi usual realli high level
105,801750989221063936,801750989221063936,UNKNOWN,road recoveri check progress video
106,801751013682253056,801751013682253056,UNKNOWN,lui enriqu gerard piqu substitut gerard piqu receiv knock foot rest
107,801751398010514944,801751398010514944,UNKNOWN,marlon away shirt team mate sign hang wall
108,801759588362178048,801759588362178048,UNKNOWN,samuel eto face 10 year jail term
109,801764802427318016,801764802427318016,UNKNOWN,lionel messi belong barcelona mourinho
110,801779996758969984,801779996758969984,UNKNOWN,cover leo 100 md
111,801782055382171008,801782055382171008,UNKNOWN,pictur player bench game
112,801783280542456960,801783280542456960,UNKNOWN,pictur andr iniesta recoveri stage
113,801784472496701056,801784472496701056,UNKNOWN,trip istanbul
114,801795646718177024,801795646718177024,UNKNOWN,yesterday
115,801798946918203008,801798946918203008,UNKNOWN,iniesta continu recoveri
116,801802253241724032,801802253241724032,UNKNOWN,messi renew better delay ivan rakit renew
